Init Random
[92 14 115]
[120 68 3]
[104 111 143]
[45 30 44]
[39 118 40]
[60 117 77]
[127 144 121]
[9 123 149]
[14 111 100]
[29 100 116]
[66 49 24]
[96 81 127]
[138 69 28]
[59 11 56]
[58 75 112]
[91 107 146]
[91 46 128]
[127 7 44]
[64 71 76]
[8 101 111]
[9 29 113]
[19 119 62]
[135 59 129]
[143 110 51]
[36 39 102]
[22 97 102]
[145 105 94]
[141 77 17]
[109 51 134]
[126 31 131]
[130 56 12]
[1 125 84]
[112 30 54]
[135 101 28]
[120 50 129]
[58 54 52]
[147 131 69]
[115 16 25]
[143 82 64]
[75 99 36]
[52 22 137]
[92 121 47]
[79 73 58]
[12 22 135]
[84 28 149]
[137 37 133]
[134 76 89]
[16 10 47]
[29 55 121]
[21 139 57]
[133 50 35]
[80 143 5]
[135 127 58]
[80 19 82]
[10 131 142]
[59 102 0]
[27 57 49]
[38 48 121]
[13 25 8]
[7 64 88]
[10 104 77]
[28 123 56]
[69 55 59]
[13 4 21]
[33 137 55]
[96 11 0]
[136 146 126]
[130 107 8]
[20 64 98]
[9 145 36]
[38 41 50]
[25 137 44]
[72 34 66]
[114 13 39]
[82 98 83]
[85 20 108]
[0 76 69]
[38 127 65]
[107 92 48]
[30 61 65]
[104 12 84]
[12 109 34]
[36 135 88]
[69 128 20]
[68 8 47]
[137 5 125]
[94 149 70]
[9 81 131]
[88 24 75]
[8 89 21]
[144 1 127]
[1 141 144]
[146 41 133]
[86 53 32]
[54 81 76]
[132 9 85]
[19 71 123]
[121 92 125]
[138 85 24]
[15 64 22]
[2 142 123]
[93 46 91]
[138 79 20]
[5 26 3]
[82 36 51]
[9 74 69]
[104 26 25]
[110 119 99]
[54 38 17]
[70 2 124]
[82 59 148]
[17 45 44]
[7 127 73]
[28 59 105]
[19 118 48]
[107 84 108]
[75 9 101]
[132 68 36]
[26 48 54]
[48 44 142]
[81 135 107]
[56 29 105]
[131 4 125]
[78 108 69]
[129 51 106]
[3 128 138]
[55 144 32]
[42 36 1]
[21 115 83]
[122 124 87]
[8 123 41]
[20 19 141]
[65 3 139]
[47 72 108]
[13 69 114]
[111 127 51]
[50 4 20]
[39 28 48]
[24 98 80]
[110 148 132]
[148 39 80]
[122 26 73]
[110 47 45]
[107 136 92]
[41 75 133]
[138 44 52]
[143 25 115]
[130 38 142]
[12 5 142]
[81 44 77]
[141 126 8]
[72 23 42]
[17 117 10]
[117 78 83]
[15 29 51]
[50 121 34]
[88 102 0]
[124 33 46]
[127 110 62]
[0 131 50]
[86 75 111]
[67 83 66]
[115 93 18]
[94 99 52]
[1 116 54]
[149 116 107]
[94 23 30]
[41 17 129]
[141 117 140]
[45 77 86]
[145 136 132]
[109 113 44]
[64 34 91]
[65 80 69]
[4 37 5]
[1 77 34]
[61 3 15]
[76 70 21]
[95 137 80]
[40 104 143]
[100 118 141]
[106 65 82]
[134 148 12]
[37 77 147]
[44 81 145]
[63 39 119]
[28 61 33]
[64 92 35]
[38 109 119]
[27 15 66]
[86 76 124]
[55 14 132]
[86 79 26]
[14 108 51]
[26 116 135]
[70 105 39]
[145 48 132]
[60 15 85]
[72 66 82]
[50 38 72]
[55 122 1]
[144 13 99]
[124 22 7]
[26 88 62]
[138 31 4]
[131 108 88]
[34 79 99]
[131 106 89]
[3 5 132]
[5 73 39]
[81 31 57]
[50 59 53]
[78 73 15]
[129 94 109]
[10 13 94]
[28 94 1]
[114 138 14]
[125 126 41]
[137 127 117]
[21 15 13]
[146 71 94]
[149 119 28]
[44 54 10]
[95 94 84]
[32 133 92]
[144 132 51]
[29 131 115]
[140 66 101]
[131 60 4]
[137 97 34]
[24 32 133]
[57 23 1]
[71 141 1]
[100 9 142]
[80 138 21]
[35 87 120]
[124 43 13]
[31 88 74]
[45 98 138]
[133 63 67]
[86 78 81]
[47 115 33]
[99 0 110]
[10 39 121]
[100 67 83]
[103 136 32]
[4 134 121]
[108 65 138]
[117 3 140]
[96 19 80]
[84 59 96]
[24 62 123]
[74 98 99]
[132 120 69]
[144 46 34]
[0 139 119]
[122 62 81]
[62 97 30]
[126 29 122]
[140 146 122]
[53 47 134]
[107 49 136]
[8 95 130]
[49 109 88]
[51 134 58]
[69 6 30]
[72 110 97]
[8 100 137]
[61 120 136]
[91 3 13]
[101 86 5]
[138 143 34]
[97 5 69]
[14 22 78]
[77 35 24]
[17 117 104]
[39 47 24]
[109 65 89]
[63 21 144]
[117 50 112]
[136 138 50]
[107 108 15]
[137 79 82]
[70 124 35]
[26 63 142]
[42 74 12]
[38 43 127]
[127 96 88]
[129 117 149]
[84 80 3]
[107 60 15]
[20 35 93]
[9 125 135]
[77 148 24]
[8 39 146]
[49 103 134]
[38 24 143]
[74 52 73]
[79 53 110]
[52 35 47]
[4 72 126]
[110 146 93]
[77 120 23]
[88 47 100]
[120 110 39]
[149 147 130]
[60 115 65]
[118 91 138]
[58 89 109]
[41 104 76]
[32 106 43]
[36 3 75]
[70 91 101]
[42 59 92]
[49 25 36]
[36 0 108]
[112 104 47]
[131 30 0]
[148 83 6]
[120 93 5]
[132 142 122]
[80 62 122]
[91 41 1]
[48 43 111]
[68 38 64]
[53 108 35]
[98 117 45]
[105 47 97]
[70 102 101]
[28 53 70]
[101 54 18]
